Year,Site,Plot,Canola Genotype,Week,DAS,Phenotypic Stage,Block,Nitrate_N ,Ammonium_N,Root_Length,Root_Surface_Area,Average_Root_Diameter,Aboveground_biomass,Gravimetric_Moisture,pH,Seed_Yield,Thousand_Seed_Weight,Seed_N,NUE_crop,NHI,PFP,N_uptake,NUtE
2016,L,1144,NAM-76,6,53,Mid Flowering,1,5.634083229,1.693095236,293.27,100.5,1.09,3028,24.87437186,6.69,3314.583333,3.93,141.9370875,4.653675,0.073251088,108.6748634,55.80515255,1.710594733
2016,L,1151,NAM-79,6,53,Mid Flowering,1,14.37853006,4.355665851,182.04,52.66,0.92,2872,19.33174224,7.43,1518.194444,4.3,77.51445375,2.5414575,0.039810166,49.77686703,56.07653804,0.779720031
2016,L,1203,NAM-13,6,53,Mid Flowering,2,3.337897935,4.540844899,224.58,69.39,0.98,1228,22.11302211,7.19,2946.388889,4.22,117.0246739,3.836874554,0.0474559,96.60291439,71.01984312,1.194821
2016,L,1207,NAM-43,6,53,Mid Flowering,2,12.88244545,5.232674957,277.15,67.93,0.78,2420,21.41119221,7.31,1569.305556,4.91,82.02760139,2.689429554,0.052394349,51.45264117,45.08873502,1.002378975
2016,L,1208,NAM-37,6,53,Mid Flowering,2,22.5089841,5.057899437,278.5,78.27,0.89,2244,23.88059701,7.18,2320.555556,4.16,106.200225,3.48197459,0.057951669,76.08378871,52.77788408,1.266287976
2016,L,1211,NAM-30,6,53,Mid Flowering,2,12.86105872,4.752009138,368.06,76.73,0.66,3008,25.37688442,6.95,1740.972222,3.24,70.39795278,2.308129599,0.079448212,57.08105647,25.51927838,1.9647891
2016,L,1215,NAM-72,6,53,Mid Flowering,2,1.611653264,3.017603003,173.22,71.6,1.32,2396,25.93516209,7.06,2309.583333,4.42,106.4025042,3.488606694,0.045707392,75.72404372,67.04368742,0.992129201
2016,L,1218,NAM-17,6,53,Mid Flowering,2,6.776031318,4.209773424,199.26,87.37,1.4,1908,23.75,6.62,2185.277778,3.82,91.37301972,2.995836712,0.066328193,71.64845173,39.67457639,1.586305532
2016,L,1225,NAM-0,6,53,Mid Flowering,2,8.023408555,4.177870585,250.08,66.05,0.84,2604,21.37592138,7.24,2500,4.04,120.4425,3.948934426,0.037329279,81.96721311,92.922876,0.774836112
2016,L,1229,NAM-76,6,53,Mid Flowering,2,6.953183125,5.360233541,231.65,67.91,0.93,1720,27.83505155,7.17,2352.083333,3.97,95.14177083,3.119402322,0.110250567,77.11748634,24.85323264,2.725601171
2016,L,1230,NAM-94,6,53,Mid Flowering,2,5.567274342,5.156876613,189.81,59.88,1,2440,25.6281407,7.13,2797.5,3.99,120.0938775,3.93750418,0.093684982,91.72131148,36.91844321,2.182323874
2016,L,1236,NAM-79,6,53,Mid Flowering,2,15.44854736,3.261549571,283.76,61.35,0.69,2280,23.7037037,7.27,1299.722222,4.42,63.40564889,2.078873734,0.034806728,42.61384335,52.46349694,0.713486561
